emp_id,name,department,salary,join_date
1,Amit,IT,60000,2022-01-10
2,Neha,HR,50000,2021-03-15
3,Ravi,IT,80000,2020-07-20
4,Priya,Finance,90000,2019-11-01
5,Arjun,HR,45000,2023-05-12
6,Karan,Finance,120000,2018-08-19
7,Sneha,IT,75000,2021-06-25
8,Rohit,Sales,55000,2022-09-14
9,Anjali,Marketing,65000,2020-12-30
10,Vikas,IT,95000,2019-03-11
11,Simran,HR,48000,2023-01-05
12,Deepak,Finance,110000,2017-07-07
13,Pooja,Marketing,70000,2021-04-18
14,Manish,Sales,52000,2022-08-21
15,Kavita,IT,88000,2020-02-27
16,Sunil,Finance,130000,2016-10-10
17,Meena,HR,47000,2022-11-11
18,Alok,Sales,60000,2021-01-19
19,Nisha,Marketing,72000,2019-09-09
20,Raj,IT,99000,2018-05-23
21,Tina,HR,53000,2020-06-14
22,Sachin,Finance,115000,2017-03-03
23,Geeta,Marketing,68000,2021-12-01
24,Ashok,Sales,58000,2022-04-04
25,Divya,IT,82000,2023-02-28


  
